34,Kittelson,Tonya,Kathie,female,66,White American,0,O+,Light Brown,Brown,8800 Devon Court,Newark,Delaware,19707,302-812-7224,789-47-1632,Immune
35,Potthoff,Lon,Tony,female,12,White American,0,B+,Light Brown,Blue,9012 4th Street,Farmington,New Mexico,87746,575-947-8351,668-78-4246,Carrier
36,Haliburton,Gillian,Colin,male,46,Black American,0,O+,Black,Black,3637 Henry Street,Orangeburg,South Carolina,29344,803-159-7220,120-46-2668,Immune
37,Chol,Samuel,Elizebeth,female,12,American Indian or Alaskan Native,0,B+,Black,Black,5754 Aspen Drive,Benton Harbor,Michigan,48641,947-858-5143,391-23-3320,Immune
38,Bertus,Olivia,Ada,male,32,White American,0,A+,Red,Brown,1046 Smith Street,De Land,Florida,33122,754-693-3730,525-30-1260,Infected
39,Gondran,Carolyn,Valeri,male,64,White American,0,A-,Brown,Green,1288 Maple Avenue,Milford,Delaware,19809,302-452-2495,487-96-2488,Immune
40,Rowray,Elvira,Chaya,female,72,Other Race,1,O+,Brown,Brown,3364 Elizabeth Street,Mount Vernon,Ohio,45547,740-167-6739,397-65-9237,Infected
41,Vansteenberg,Mercedez,Janna,male,101,White American,0,AB+,Blond,Brown,6994 York Road,Fairfield,Connecticut,6398,860-784-7539,967-53-4250,Immune
42,Hruska,Phil,Shakia,male,52,White American,0,O+,Brown,Brown,4820 Route 70,Mankato,Minnesota,55552,651-830-6892,656-98-1401,Immune
43,Stebner,Mitsuko,Rea,female,69,Black American,0,O+,Black,Hazel,3594 State Street,Nebraska City,Nebraska,68469,531-743-5179,758-27-9454,Carrier
44,Sith,Eunice,Shenika,male,15,White American,0,A+,Brown,Green,7713 Railroad Street,Mobridge,South Dakota,57533,605-353-5887,798-62-3076,Carrier
45,Mathiason,Vada,Lasonya,female,8,White American,0,B+,Brown,Brown,1008 Windsor Drive,Farmington,Maine,4634,207-106-2549,249-11-7392,Immune
46,Craney,Miles,Terry,male,9,White American,0,O+,Blond,Hazel,9693 Walnut Street,East Moline,Illinois,62250,779-419-6313,808-96-5633,Immune
47,Catholic,Cruz,Tyson,male,18,White American,0,O+,Black,Brown,7598 Route 20,Lebanon,Tennessee,37566,731-426-9921,339-97-9592,Immune
48,Hughson,Claretha,Cecila,female,23,White American,0,B+,Light Brown,Blue,8633 Virginia Avenue,Livingston,Montana,59437,406-121-8248,605-30-6761,Immune
49,Spetter,Neida,Gabriela,female,62,Other Race,1,O+,Black,Brown,1715 Union Street,Winnemucca,Nevada,89496,775-872-4101,592-45-5637,Infected
50,Delperdang,Evia,Alpha,female,7,Black American,0,O+,Black,Hazel,3708 Cleveland Avenue,Wyandotte,Michigan,49129,947-623-8152,463-86-4564,Immune
51,Galper,Morgan,Clemencia,female,16,White American,0,O+,Light Brown,Blue,7841 Union Street,Telluride,Colorado,80117,970-450-7852,291-93-6791,Immune
52,Ordway,Miyoko,Rima,male,65,White American,0,O+,Brown,Green,3478 Eagle Road,Essex,Vermont,5736,802-373-8282,791-71-8047,Infected
53,Lovgren,Maxine,Hannelore,female,35,White American,0,A-,Black,Blue,1979 Route 17,Minden,Nebraska,68908,308-532-2715,523-71-2646,Immune
54,Guido,Marlin,Takisha,female,19,White American,0,O+,Brown,Brown,7364 Country Club Drive,Shreveport,Louisiana,70506,504-864-6516,721-41-5167,Immune
55,Walkup,Julee,Orval,male,16,Black American,0,O+,Black,Brown,7171 Hickory Street,Huntington,Indiana,46657,765-240-2572,878-95-2273,Carrier
56,Playford,Roland,Tennille,female,77,White American,0,O+,Blond,Blue,5202 Franklin Street,Florence,Alabama,35581,938-283-1684,706-98-3804,Immune
57,Oday,Amado,Lillia,male,19,Other Race,1,A+,Brown,Brown,7585 Sycamore Street,Auburn,Maine,4478,207-104-2903,747-82-2315,Infected
58,Dubson,Hermina,Garth,female,17,White American,0,B+,Brown,Blue,6642 Clark Street,Edison,New Jersey,7118,201-133-8284,119-92-8466,Immune
59,Pruess,Melania,Raye,female,60,Other Race,1,A+,Black,Green,6139 Arlington Avenue,Marysville,California,91750,951-959-2352,290-60-4487,Carrier
60,Hagge,Magen,Seth,female,28,White American,0,O+,Brown,Blue,5147 Route 20,Middlebury,Vermont,5544,802-653-2499,878-65-8562,Immune
61,Vanroekel,Marcell,Basilia,female,49,White American,0,A+,Brown,Other,9417 11th Street,Barre,Vermont,5845,802-784-2476,543-16-2543,Infected
62,Strimple,Ashlea,Jermaine,male,41,White American,0,O-,Blond,Brown,9014 Catherine Street,Bowling Green,Kentucky,41478,502-305-9521,264-10-2029,Carrier
63,Liest,Arlen,Allyson,female,18,Black American,0,A+,Black,Brown,4941 Oak Street,Altus,Oklahoma,74296,580-709-3665,417-67-5786,Immune
64,Nallie,Keeley,Dacia,female,22,White American,0,A-,Brown,Hazel,3808 Hillside Avenue,Winnemucca,Nevada,88924,725-519-5421,330-89-4283,Immune
65,Benke,Dalila,Tynisha,male,79,White American,1,A+,Brown,Brown,4080 Mulberry Lane,Pittsburg,Kansas,66821,785-357-5140,804-13-6516,Immune
66,Bean,Latasha,Alfonso,male,11,White American,0,A-,Brown,Blue,5797 7th Street,Kapaa,Hawaii,96745,808-950-6695,919-56-3819,Carrier
67,Thuman,Wendie,Jacelyn,female,10,Asian American,0,O+,Black,Black,8465 Country Club Drive,Neosho,Missouri,64066,816-389-6398,335-88-1250,Infected
68,Brooms,Rosio,Cathy,female,42,White American,0,B+,Brown,Hazel,9477 Summer Street,Williamsport,Pennsylvania,17717,272-323-9196,317-64-1041,Carrier
69,Iffert,Nery,Ivana,female,17,Asian American,0,O+,Brown,Black,1284 Mechanic Street,Las Vegas,Nevada,89262,725-555-8050,821-49-2180,Carrier
70,Bottino,Christia,Lorita,male,93,Native Hawaiian or Other Pacific Islander,0,A+,Brown,Brown,6184 Grant Street,Anderson,South Carolina,29723,864-770-3912,291-73-1219,Carrier
71,Pantosa,Andria,Adrienne,male,69,White American,0,O-,Brown,Black,1265 Columbia Street,Martinsville,Virginia,22724,703-573-2834,696-75-7174,Infected
72,Rykard,Queen,Idell,female,5,White American,0,O+,Light Brown,Blue,1189 Carriage Drive,Exeter,New Hampshire,3493,603-959-3234,289-31-3341,Carrier
73,Neighbours,Gaynell,Leda,female,52,White American,1,A+,Brown,Green,2447 Hartford Road,El Paso,Texas,79066,940-305-2216,914-65-1033,Carrier
74,Ananias,Judith,Karri,female,77,White American,0,A+,Black,Blue,3266 Franklin Court,Scranton,Pennsylvania,16362,267-396-6828,373-32-9698,Infected
75,Bartos,Ewa,Denae,male,52,White American,0,O+,Blond,Brown,3807 4th Street North,Pocatello,Idaho,83470,208-755-2465,366-89-3910,Carrier
76,Linnell,Chara,Antonietta,female,6,White American,0,O+,Brown,Hazel,6356 River Road,Wilmington,Delaware,19820,302-196-6204,348-53-7636,Carrier
77,Hollister,Robin,Pandora,male,102,White American,1,B+,Brown,Hazel,1852 Summit Street,Frederick,Maryland,20998,301-279-6000,479-39-6709,Infected
78,Kabat,Tanisha,Samantha,male,48,Other Race,1,O-,Brown,Black,7556 Cherry Lane,Winooski,Vermont,5510,802-361-6323,927-86-2105,Immune
79,Leopold,Kittie,Angela,female,6,White American,0,O+,Brown,Brown,2356 Briarwood Drive,Grafton,West Virginia,26119,304-236-9522,817-96-1967,Immune
80,Propper,Bernardo,Shirlee,female,19,White American,0,B+,Brown,Brown,1337 9th Street,Boise,Idaho,83372,208-200-2509,172-65-1236,Infected
81,Heiden,Leontine,Catherine,male,15,Black American,0,O+,Black,Brown,1242 1st Street,Takoma Park,Maryland,21207,240-971-6370,535-10-3167,Carrier
82,Suydan,Darron,Dee,male,19,White American,0,B+,Light Brown,Blue,4718 Beechwood Drive,North Adams,Massachusetts,2734,857-968-2540,379-32-1001,Infected
83,Swingen,Thad,Margaretta,male,43,White American,0,A-,Blond,Blue,9410 Street Road,Anacortes,Washington,98380,509-773-9378,981-95-5614,Carrier
84,Ojard,Cedric,Eliseo,male,20,White American,0,A+,Blond,Blue,5649 Forest Street,Riverton,Wyoming,82932,307-392-2293,567-64-3171,Carrier
85,Serb,Winter,Burl,female,18,Asian American,0,A+,Brown,Black,6702 Holly Drive,Troy,New York,10022,347-248-9293,580-17-3750,Infected
86,Cambron,Jennette,Dulce,female,10,White American,0,O+,Brown,Blue,7635 Arlington Avenue,McKinney,Texas,77043,469-269-2899,584-33-6183,Immune
87,Albertine,Hobert,Jeanette,female,39,Black American,0,O-,Black,Brown,6966 Hillside Drive,Anacortes,Washington,98569,425-461-8649,824-89-9096,Immune
88,Marullo,Hildred,Marlena,male,39,White American,0,B+,Brown,Blue,8087 Hillcrest Drive,Sturgeon Bay,Wisconsin,53358,715-232-7151,767-81-8892,Infected
89,Reff,Gary,Kasie,male,36,White American,0,AB+,Light Brown,Brown,2610 8th Street South,Cleveland,Ohio,43355,513-832-4260,327-51-2963,Immune
90,Holladay,Nilsa,Elidia,male,57,Black American,0,O+,Black,Brown,8792 Hanover Court,Pinehurst,North Carolina,27804,919-120-7337,662-99-7766,Carrier
91,Woolstenhulme,Earline,Mara,female,11,White American,0,A+,Brown,Blue,3587 Dogwood Drive,Vermillion,South Dakota,57519,605-158-8688,299-75-1167,Immune
92,Weatherly,Katherina,Jacinto,female,62,Black American,0,A+,Black,Brown,5522 West Avenue,Concord,North Carolina,28537,910-951-8475,605-12-1299,Immune
93,Giuliano,Chae,Bernarda,male,22,White American,0,A+,Brown,Blue,6637 Summer Street,Jeffersonville,Indiana,47465,574-984-4360,845-80-5511,Immune
94,Stelting,Diann,Ricki,female,29,White American,0,O-,Brown,Blue,6801 Clinton Street,McPherson,Kansas,67923,785-378-5683,412-89-3912,Immune
95,Greife,Felicia,Rheba,female,19,White American,0,B+,Light Brown,Green,9246 7th Street,Fremont,Nebraska,68801,402-627-4231,700-52-9566,Infected
96,Zeiner,Maryam,Miki,male,26,White American,0,O-,Black,Hazel,7653 6th Street,Ellsworth,Maine,4919,207-482-7935,738-48-2309,Immune
97,Gadsen,Bryon,Beatriz,female,17,Black American,0,O+,Black,Black,6143 1st Avenue,Watertown,South Dakota,57777,605-829-3861,820-56-2294,Immune
98,Alvey,Georgeann,Wilson,male,41,Asian American,0,A+,Brown,Black,8353 Valley Drive,Davenport,Iowa,52536,641-513-4365,271-85-4519,Immune
99,Malmquist,Carey,Randal,male,49,White American,0,O+,Brown,Brown,3346 East Avenue,Kodiak,Alaska,99842,907-727-9442,838-45-2354,Carrier
100,Brailford,Charity,Alva,male,95,White American,0,A-,Brown,Hazel,3797 Willow Drive,Silver Spring,Maryland,21659,240-415-5096,625-91-3009,Carrier
101,Mankowski,Saturnina,Carrie,male,49,Asian American,0,A+,Black,Black,4536 Lantern Lane,High Point,North Carolina,27738,828-124-7178,256-21-2844,Infected
102,Car,Rhett,Roxane,male,18,White American,0,O+,Brown,Blue,7811 Laurel Drive,Montpelier,Vermont,5630,802-648-9592,981-45-3722,Immune
103,Schleicher,Shin,Dann,male,3,White American,1,A+,Brown,Blue,8630 Main Street North,Redmond,Washington,98233,425-573-7197,137-60-6802,Carrier
104,Aikey,Danelle,Kelley,female,57,White American,0,A+,Brown,Blue,5982 Walnut Avenue,Mount Vernon,Illinois,60670,779-330-7125,371-63-9915,Immune
105,Mcgrady,Holley,Darrick,female,52,White American,0,B+,Brown,Hazel,2654 Hillcrest Avenue,Groton,Massachusetts,1284,413-289-2218,931-67-9018,Carrier
106,Lepper,Maudie,Arianna,female,64,White American,1,A+,Brown,Hazel,3654 Cleveland Street,Herrin,Illinois,61969,847-534-9122,263-19-4774,Infected
107,Joehnck,Chieko,Laurence,male,61,White American,0,A+,Blond,Brown,6194 5th Avenue,Nephi,Utah,84722,385-722-7527,936-84-7417,Immune
108,Kriegel,Velma,Mica,male,28,White American,1,O+,Brown,Brown,8777 Maple Street,Jacksonville,Illinois,60437,779-678-4621,146-91-5416,Immune
109,Bronk,Cassie,Erik,male,57,White American,0,O+,Brown,Blue,9257 Clay Street,Washington,North Carolina,27396,828-623-9811,752-20-8470,Infected
110,Lueckenhoff,Ellamae,Cammy,female,52,White American,0,B+,Light Brown,Blue,6262 Woodland Avenue,Orange,Texas,78617,682-137-1924,890-63-8302,Carrier
111,Hample,Francoise,Josef,male,14,Other Race,1,AB-,Brown,Brown,8651 Berkshire Drive,Dickinson,North Dakota,58396,701-956-2231,744-68-7147,Carrier
112,Hadad,Suzi,Pattie,male,29,Black American,0,O+,Black,Brown,4827 Market Street,Salem,New Hampshire,3328,603-370-9792,883-66-4148,Carrier
113,Readinger,Tobie,Jacquie,female,10,White American,0,A+,Blond,Hazel,1592 Fairview Avenue,Concord,Massachusetts,1359,978-518-8013,726-48-8180,Immune
114,Aievoli,Calandra,Latrina,male,90,Black American,0,B+,Black,Brown,5534 Buckingham Drive,Carlsbad,New Mexico,88309,575-392-1751,942-77-8484,Carrier
115,Asmar,Hiroko,Noble,female,3,White American,1,A+,Brown,Brown,5721 Valley View Road,Idaho Falls,Idaho,83300,208-428-9787,569-38-2722,Immune
116,Zannino,Renata,Latia,male,65,Black American,0,O+,Black,Brown,8448 4th Avenue,Charlotte,North Carolina,28464,919-414-7787,727-10-8597,Immune
117,Newhard,Ferne,Carylon,female,8,White American,0,A+,Brown,Brown,7904 Windsor Drive,Miles City,Montana,59357,406-312-6451,843-10-3349,Immune
118,Ciganek,Patricia,Deloris,female,26,White American,0,O+,Brown,Brown,6030 Academy Street,Lewisburg,West Virginia,25220,304-714-8240,533-20-2226,Immune
119,Rana,Shondra,Whitley,female,61,Asian American,0,A-,Black,Black,5116 Sunset Avenue,Harrisburg,Pennsylvania,17688,272-223-3822,233-20-7050,Immune
120,Fauntleroy,Precious,Andre,female,32,Black American,0,O+,Brown,Brown,7273 Ivy Lane,Florence,South Carolina,29270,843-273-4189,655-46-2276,Infected
121,Hubel,Carrol,Micheal,female,37,White American,0,O+,Light Brown,Brown,4059 Pine Street,Bainbridge,Georgia,31853,478-867-5321,692-75-2685,Carrier
122,Willman,Micheal,Brad,male,69,White American,0,O+,Light Brown,Blue,7205 Tanglewood Drive,Clearfield,Utah,84249,801-661-3923,499-68-3448,Immune
123,Eskra,Sammie,Renata,male,19,White American,0,O+,Brown,Blue,6394 Prospect Street,Owensboro,Kentucky,41603,859-322-5992,538-53-2082,Carrier
124,Wanner,Damian,Mel,female,40,White American,0,AB+,Brown,Blue,5824 Madison Avenue,Loveland,Colorado,80635,970-271-3146,290-81-5396,Immune
125,Gelston,Patria,Corene,female,67,White American,0,A-,Brown,Blue,6370 Mulberry Court,Wailuku,Hawaii,96725,808-197-7761,200-72-2131,Carrier
126,Houseman,Devin,Marylyn,male,55,White American,0,A+,Brown,Hazel,7806 Church Street South,Benton,Arkansas,71862,501-122-4118,396-55-9471,Carrier
127,Longway,Tarra,Cyrstal,female,47,White American,0,O+,Brown,Blue,9285 Lincoln Street,Mexico,Missouri,65858,573-434-5498,678-92-4888,Infected
128,Aujla,Nicole,Jacqui,male,41,White American,0,A+,Black,Brown,8773 Poplar Street,San Mateo,California,94906,530-586-8193,333-21-5599,Immune
129,Ramiscal,Davis,Joie,female,63,White American,0,B+,Black,Blue,7547 9th Street West,Springfield,Massachusetts,2116,508-775-1717,929-70-6547,Immune
130,Chastin,Nick,Elissa,male,46,White American,0,O+,Black,Hazel,9950 College Street,Richmond,Kentucky,42626,502-648-3031,343-37-7237,Carrier
131,Nemunaitis,Geneva,Emogene,male,45,Black American,0,O-,Black,Brown,6130 5th Street East,Corinth,Mississippi,38950,228-793-4592,571-91-2231,Carrier
132,Scipioni,Fidela,Emily,male,51,White American,0,O+,Brown,Light Brown,6587 Meadow Street,Clearwater,Florida,34837,850-109-8836,369-12-1088,Infected
133,Hyndman,Loreen,Johnson,female,67,White American,1,A+,Brown,Hazel,1376 Jackson Avenue,Coulee Dam,Washington,98288,206-465-9488,980-54-9668,Immune
134,Demchok,Fred,Carmelita,female,23,White American,0,O+,Brown,Blue,2923 Route 2,Winston-Salem,North Carolina,28822,919-132-4763,173-26-7175,Carrier
135,Fender,Jeane,Roberto,female,10,Black American,0,O+,Light Brown,Brown,4888 Pennsylvania Avenue,Atchison,Kansas,67649,620-124-9867,913-35-6230,Immune
136,Fuss,Kamala,Amberly,male,10,Black American,0,B+,Brown,Brown,5835 Westminster Drive,Odessa,Texas,76780,281-655-4628,540-65-8499,Immune
137,Kochanski,Ellena,Gisele,male,25,Black American,0,A+,Black,Brown,2304 Oak Avenue,Danbury,Connecticut,6567,475-562-9834,270-71-3847,Carrier
138,Cleath,Sarita,Aaron,male,29,White American,0,A+,Black,Brown,5385 14th Street,Baton Rouge,Louisiana,70406,985-184-1938,107-75-4117,Infected
139,Wrede,Francine,Luella,female,26,White American,0,O+,Brown,Blue,2334 Monroe Drive,Valley City,North Dakota,58383,701-524-5923,605-70-5671,Carrier
140,Kao,Cheri,Melissia,male,78,Black American,0,A+,Black,Brown,7556 College Street,Virginia City,Montana,59693,406-175-4177,585-96-9873,Infected
141,Lunday,Nanci,Ricki,female,22,White American,0,A+,Red,Green,5479 5th Street South,Sioux Falls,South Dakota,57518,605-364-6433,496-41-2376,Immune
142,Grzelak,Jo,Prudence,female,5,White American,0,A-,Brown,Blue,6378 Howard Street,Clayton,Missouri,63084,816-657-3605,351-85-6431,Carrier
143,Pandola,Maura,Harvey,female,22,White American,0,O+,Brown,Brown,6760 Ridge Street,Pass Christian,Mississippi,39099,601-655-2038,238-18-9172,Carrier
144,Methot,Celine,Margrett,female,22,Black American,0,O-,Black,Brown,9453 Maple Lane,Shawnee,Kansas,66475,913-384-1807,107-74-2288,Infected
145,Yaple,Camellia,Modesto,male,60,White American,0,A+,Brown,Blue,8793 Henry Street,Cranston,Rhode Island,2852,401-389-2457,331-45-1721,Carrier
146,Willington,Randi,Yolando,female,41,White American,0,A+,Brown,Light Brown,5720 Jefferson Court,Lebanon,New Hampshire,3812,603-227-3458,899-92-1165,Carrier
147,Huffines,Gearldine,Margarett,male,1,White American,0,A+,Brown,Blue,7589 New Street,Waimea,Hawaii,96723,808-920-9544,249-59-4838,Immune
148,Crea,Zulma,Gene,male,25,White American,0,A+,Brown,Brown,4060 Mulberry Street,Apalachicola,Florida,34167,904-957-1952,760-16-4953,Infected
149,Laurenceau,Shakira,Sang,male,29,Other Race,1,A+,Black,Brown,9338 Heather Lane,Bastrop,Louisiana,70203,504-303-8619,807-89-7254,Immune
150,Mihalick,Curt,Moira,male,12,White American,0,O+,Light Brown,Hazel,6220 Hartford Road,Rocky Mount,North Carolina,28208,984-573-3749,591-92-8443,Carrier
151,Tensley,Arlen,Mozelle,male,63,White American,1,O+,Brown,Blue,7738 Victoria Court,Barre,Vermont,5392,802-931-6772,691-98-6698,Carrier
152,Brantingham,Peter,Jamee,male,52,White American,0,A-,Brown,Blue,8202 Eagle Road,Fort Benton,Montana,59374,406-663-1944,985-27-6755,Carrier
153,Pinales,Ayana,Sharen,male,37,Black American,0,A+,Black,Brown,1464 Spruce Avenue,Sturgeon Bay,Wisconsin,53122,715-243-9644,275-92-1389,Infected
154,Fadness,Franklyn,Esperanza,male,60,White American,0,A+,Brown,Green,9006 Grove Street,Wailuku,Hawaii,96842,808-524-8753,669-87-7706,Immune
155,Phyfiher,Stacey,Carlene,male,33,White American,1,A+,Brown,Green,3436 Mill Street,Portage,Wisconsin,53497,414-897-6230,923-37-9156,Infected
156,Zamor,Lilian,Dominica,male,69,Black American,0,A+,Black,Brown,7017 Vine Street,Osceola,Arkansas,72030,870-518-9304,277-92-1433,Immune
157,Babish,Rikki,Rosa,female,29,White American,0,B+,Blond,Brown,4796 8th Street,Tiverton,Rhode Island,2937,401-369-3620,197-11-1075,Infected
158,Veney,Sofia,Cinda,male,82,White American,0,O+,Blond,Hazel,4033 Water Street,Lake Geneva,Wisconsin,53603,414-434-7735,623-43-3957,Immune
159,Tavella,Susy,Jimmie,female,48,White American,0,B-,Brown,Brown,1046 Brookside Drive,Maryville,Missouri,65760,573-912-8311,178-92-7583,Carrier
160,Paluk,Grover,Shirely,female,8,White American,0,O+,Brown,Hazel,4169 West Street,Calais,Maine,4000,207-295-1177,496-36-2739,Infected
161,Lauri,Bryanna,Ronda,female,49,White American,0,A+,Brown,Brown,5023 Lakeview Drive,Peterborough,New Hampshire,3748,603-403-2684,633-11-7792,Immune
162,Arner,Vita,Jannet,female,11,White American,0,O-,Brown,Brown,2625 3rd Street East,Williston,North Dakota,58617,701-338-9695,693-34-3535,Immune
163,Weise,Rutha,Luanne,male,46,Other Race,1,AB+,Black,Brown,1732 Overlook Circle,Smyrna,Delaware,19767,302-133-6002,841-24-8799,Immune
164,Hamiss,Mora,Esta,male,27,White American,1,O-,Light Brown,Brown,7034 Roosevelt Avenue,Edison,New Jersey,8343,848-197-6183,469-21-1919,Immune
165,Krok,Ivelisse,Liana,male,30,White American,0,A+,Light Brown,Brown,7066 Circle Drive,Kingston,Rhode Island,2894,401-593-2546,663-74-7281,Carrier
166,Jump,Reda,Minnie,female,2,Black American,0,B+,Brown,Brown,4219 Homestead Drive,Sauk Centre,Minnesota,55042,507-901-6128,208-40-3846,Immune
167,Perry,Frederick,Donya,male,72,Other Race,1,O-,Black,Brown,8586 Madison Street,Wilmington,Delaware,19949,302-165-4284,265-60-9284,Carrier
168,Mildon,Janene,Isidra,female,10,White American,0,B+,Blond,Brown,5413 3rd Street East,Camden,South Carolina,29533,803-574-3594,995-42-9911,Infected
169,Plunk,Laurence,Edwina,male,20,American Indian or Alaskan Native,0,A+,Brown,Black,6991 Lafayette Avenue,Lancaster,Ohio,45268,419-539-7967,463-69-3034,Immune
170,Wilbur,Lucas,Danette,male,23,White American,0,O-,Brown,Brown,2648 11th Street,Red Bluff,California,95869,323-679-2221,181-55-3050,Immune
171,Knesel,Shalonda,Karon,female,0,White American,0,B+,Blond,Hazel,6153 Maple Avenue,Greenwood,South Carolina,29877,843-109-1220,818-35-9463,Immune
172,Bilbao,John,Berta,male,24,White American,0,O+,Blond,Blue,8824 Pin Oak Drive,Clearfield,Utah,84761,385-241-6644,945-82-4398,Infected
173,Politz,Dalene,Siu,female,47,White American,1,O+,Brown,Blue,3574 10th Street,Tacoma,Washington,99079,206-350-8015,469-35-9544,Carrier
174,Stroer,Phillis,Matilda,male,42,White American,0,O+,Black,Green,9942 Franklin Avenue,Belle Fourche,South Dakota,57272,605-703-7356,189-25-5736,Carrier
